restaurant_name,restaurant_link
Lolita Cocina & Tequila Bar Back Bay - Temp. CLOSED,https://www.yelp.com/biz/lolita-cocina-and-tequila-bar-back-bay-boston?osq=Restaurants
Anchovies,https://www.yelp.com/biz/anchovies-boston?osq=Restaurants
Dillon’s,https://www.yelp.com/biz/dillons-boston?osq=Restaurants
Clover Food Lab,https://www.yelp.com/biz/clover-food-lab-boston-15?osq=Restaurants
Trident Booksellers & Café,https://www.yelp.com/biz/trident-booksellers-and-caf%C3%A9-boston-2?osq=Restaurants
Vivi Bubble Tea Cafe,https://www.yelp.com/biz/vivi-bubble-tea-cafe-boston?osq=Restaurants
Casa Romero,https://www.yelp.com/biz/casa-romero-boston?osq=Restaurants
Dumpling Palace,https://www.yelp.com/biz/dumpling-palace-boston?osq=Restaurants
Thinking Cup,https://www.yelp.com/biz/thinking-cup-boston-5?osq=Restaurants
Wen’s Yunnan Noodle & Ramen,https://www.yelp.com/biz/wens-yunnan-noodle-and-ramen-boston-7?osq=Restaurants
Contessa,https://www.yelp.com/biz/contessa-boston?osq=Restaurants
Del Frisco’s Double Eagle Steakhouse,https://www.yelp.com/biz/del-friscos-double-eagle-steakhouse-boston-2?osq=Restaurants
Shun’s Kitchen,https://www.yelp.com/biz/shuns-kitchen-boston-2?osq=Restaurants
Tatte Bakery & Cafe,https://www.yelp.com/biz/tatte-bakery-and-cafe-boston-6?osq=Restaurants
sweetgreen,https://www.yelp.com/biz/sweetgreen-boston?osq=Restaurants
Corner Tavern,https://www.yelp.com/biz/corner-tavern-boston?osq=Restaurants
Umai,https://www.yelp.com/biz/umai-boston?osq=Restaurants
MIDA - Boston,https://www.yelp.com/biz/mida-boston-boston?osq=Restaurants
KAVA neo-taverna,https://www.yelp.com/biz/kava-neo-taverna-boston-2?osq=Restaurants
Newbury Street,https://www.yelp.com/biz/newbury-street-boston?osq=Restaurants
PadThai Cafe,https://www.yelp.com/biz/padthai-cafe-boston-3?osq=Restaurants
Metropolis,https://www.yelp.com/biz/metropolis-cafe-boston-5?osq=Restaurants
Mana Escondido Café,https://www.yelp.com/biz/mana-escondido-caf%C3%A9-boston-5?osq=Restaurants
Brownstone,https://www.yelp.com/biz/brownstone-boston?osq=Restaurants
El Jefe’s Taqueria - Symphony,https://www.yelp.com/biz/el-jefe-s-taqueria-symphony-boston?osq=Restaurants
Flour Bakery + Café,https://www.yelp.com/biz/flour-bakery-caf%C3%A9-boston-5?osq=Restaurants
Café Apropos,https://www.yelp.com/biz/caf%C3%A9-apropos-boston-2?osq=Restaurants
Jonquils Cafe & Bakery,https://www.yelp.com/biz/jonquils-cafe-and-bakery-boston?osq=Restaurants
Mumbai Spice,https://www.yelp.com/biz/mumbai-spice-boston?osq=Restaurants
Petit Robert Bistro,https://www.yelp.com/biz/petit-robert-bistro-boston-3?osq=Restaurants
Caffe Strega,https://www.yelp.com/biz/caffe-strega-boston-2?osq=Restaurants
Bon Me - Back Bay,https://www.yelp.com/biz/bon-me-back-bay-boston?osq=Restaurants
Ichiban Yakitori Sushi House,https://www.yelp.com/biz/ichiban-yakitori-sushi-house-boston?osq=Restaurants
Tatte Bakery & Cafe,https://www.yelp.com/biz/tatte-bakery-and-cafe-boston-8?osq=Restaurants
Boston Shawarma,https://www.yelp.com/biz/boston-shawarma-boston-2?osq=Restaurants
California Pizza Kitchen at Prudential,https://www.yelp.com/biz/california-pizza-kitchen-at-prudential-boston-2?osq=Restaurants
Grill 23 & Bar,https://www.yelp.com/biz/grill-23-and-bar-boston?osq=Restaurants
Gyroscope,https://www.yelp.com/biz/gyroscope-boston?osq=Restaurants
Bar 10,https://www.yelp.com/biz/bar-10-boston-2?osq=Restaurants
Aquitaine,https://www.yelp.com/biz/aquitaine-boston-5?osq=Restaurants
Caffébene,https://www.yelp.com/biz/caff%C3%A9bene-boston-2?osq=Restaurants
Nespresso Boutique,https://www.yelp.com/biz/nespresso-boutique-boston-2?osq=Restaurants
B.GOOD,https://www.yelp.com/biz/b-good-boston-14?osq=Restaurants
Shabumaru - Temp. CLOSED,https://www.yelp.com/biz/shabumaru-boston?osq=Restaurants
SideBar & Grille,https://www.yelp.com/biz/sidebar-and-grille-boston?osq=Restaurants
Delux Café,https://www.yelp.com/biz/delux-caf%C3%A9-boston-2?osq=Restaurants
Precinct Kitchen + Bar,https://www.yelp.com/biz/precinct-kitchen-bar-boston?osq=Restaurants
Frenchie Wine Bistro,https://www.yelp.com/biz/frenchie-wine-bistro-boston?osq=Restaurants
Render Coffee,https://www.yelp.com/biz/render-coffee-boston?osq=Restaurants
Tasty Burger,https://www.yelp.com/biz/tasty-burger-boston-7?osq=Restaurants
Smashburger,https://www.yelp.com/biz/smashburger-boston?osq=Restaurants
Forty Dalton,https://www.yelp.com/biz/forty-dalton-boston?osq=Restaurants
Jugos Supremo,https://www.yelp.com/biz/jugos-supremo-boston-2?osq=Restaurants
465 Bar and Restaurant,https://www.yelp.com/biz/465-bar-and-restaurant-boston?osq=Restaurants
Bistro du Midi,https://www.yelp.com/biz/bistro-du-midi-boston?osq=Restaurants
The Butcher Shop,https://www.yelp.com/biz/the-butcher-shop-boston?osq=Restaurants
Yamato II,https://www.yelp.com/biz/yamato-ii-boston-3?osq=Restaurants
B&G Oysters,https://www.yelp.com/biz/b-and-g-oysters-boston?osq=Restaurants
Orinoco,https://www.yelp.com/biz/orinoco-boston?osq=Restaurants
Life Alive Organic Cafe,https://www.yelp.com/biz/life-alive-organic-cafe-boston?osq=Restaurants
Davio’s,https://www.yelp.com/biz/davios-boston?osq=Restaurants
Pavement Coffeehouse,https://www.yelp.com/biz/pavement-coffeehouse-boston-4?osq=Restaurants
