"","CT_ID_10","Guns_2020","PrivateConflict_2020","SocDis_2020","Violence_2020","NUM_REST","PRIVATENEGLECT","PUBLICDENIG_count","PropViol2020_rate","CodeViol2020_rate","AV_LAND_PER_SF.res","AV_LAND_PER_SF.nonres","Buildingpermit_totalcount","Type","ForBorn","White","Black","Hispanic","MedHouseIncome","HomeOwnPer","ListingsFreq.Clist","MedianRent.Clist","ListingsFreq.Airbnb","MedianRent.Airbnb"
"1",25025000100,1.31480090157776,8.07663410969196,3.56874530428249,14.0871525169046,21,98,249,1.87828700225394,403.831705484598,107.563882435576,23.241140807052,54,"I",0.285859959211421,0.57205982324949,0.0696804894629504,0.122365737593474,90980,0.24560546875,348,2400,778,100
"2",25025000201,1.25281884239539,6.01353044349787,1.00225507391631,6.26409421197695,12,92,82,2.50563768479078,295.665246805312,124.309235287573,7.28079720562362,25,"R",0.214060606060606,0.718545454545455,0.0453333333333333,0.0766060606060606,93583,0.27951499680919,276,2100,290,55
"3",25025000202,1.40449438202247,5.61797752808989,3.97940074906367,10.2996254681648,8,110,119,4.68164794007491,280.898876404494,114.536565723951,6.6438577557357,35,"R",0.213405066128671,0.601434655906747,0.0203990136740641,0.270567137413136,79783,0.304089709762533,300,1900,85,88
"4",25025000301,0.339443312966735,1.69721656483367,0.339443312966735,4.75220638153428,7,50,57,6.78886625933469,264.765784114053,77.058601596994,4.68277056348523,27,"R",0.171763175016265,0.664931685100846,0.0910865322055953,0.135653871177619,126845,0.339897260273973,309,2200,199,80
"5",25025000302,2.01787258575958,4.03574517151917,1.15307004900548,4.90054770827328,5,42,65,8.64802536754108,236.379360046123,73.0246495112043,1.05536343796363,29,"R",0.29852045256745,0.649550333623441,0.0435161009573542,0.10850014505367,101958,0.552469135802469,124,2100,259,88
"6",25025000401,0.702864171498858,2.10859251449657,2.10859251449657,3.33860481461957,7,88,187,3.51432085749429,356.70356703567,77.2160989014563,2.46649202032596,24,"R",0.331811797752809,0.683637640449438,0.034936797752809,0.0942766853932584,72739,0.101949025487256,412,2025,206,80
"7",25025000402,1.43102461362335,8.01373783629078,0.572409845449342,3.14825414997138,7,44,92,5.72409845449342,672.581568402976,88.3714673413769,10.947657202078,29,"I",0.182972972972973,0.716486486486486,0.012972972972973,0.100540540540541,94063,0.366519174041298,1267,2150,191,95
"8",25025000502,0.862663906142167,1.20772946859903,1.20772946859903,4.1407867494824,11,45,102,3.45065562456867,124.223602484472,23.3624733633238,8.3555132391602,21,"P",0.197292418772563,0.746931407942238,0.0232851985559567,0.105234657039711,65455,0.162162162162162,580,1795,242,120
"9",25025000503,0.996512207274539,1.49476831091181,0.49825610363727,5.48081714000997,0,50,21,0,413.552566018934,18.2546998632718,2.88282349755838,8,"R",0.258744609487302,0.728797316722568,0.0215620507906085,0.0459990416866315,74242,0.248796147672552,418,1950,157,120
"10",25025000504,2.62573217531812,4.24156736012927,1.61583518481115,8.28115532215714,10,95,185,0,383.760856392648,40.7621612331448,4.43099292679316,25,"R",0.295019157088123,0.676950998185118,0.0282314982859447,0.083887880621093,62148,0.185081771041085,593,2050,290,89
"11",25025000601,2.002002002002,9.50950950950951,2.5025025025025,7.75775775775776,18,136,185,2.5025025025025,355.355355355355,103.914673428723,20.4600522063214,24,"R",0.265402843601896,0.649025803054239,0.0300157977883096,0.0966298051606108,87500,0.315716272600835,417,2000,237,70
"12",25025000602,5.33672172808132,8.64040660736976,3.30368487928844,33.2909783989835,9,133,93,0,444.726810673443,77.1503288404366,12.8110877802066,19,"R",0.396584896584897,0.489177489177489,0.0531505531505531,0.199374699374699,40781,0.0611650485436893,478,1795,246,82
"13",25025000701,1.45924536168439,4.7946633312487,1.25078173858662,5.42005420054201,3,78,48,2.08463623097769,256.410256410256,55.9356951857076,4.67855822257891,23,"R",0.312728937728938,0.609661172161172,0.0835622710622711,0.104166666666667,67181,0.142050799623706,1049,1850,426,120
"14",25025000703,0.509424350483953,7.13194090677534,10.697911360163,17.8298522669384,29,108,82,0,804.890473764646,150.99726341604,71.8619323104271,17,"R",0.351980198019802,0.484158415841584,0.0405940594059406,0.131188118811881,43163,0.0546341463414634,675,1700,187,76
"15",25025000704,0.815328169588259,3.26131267835304,6.72645739910314,11.6184264166327,30,87,123,0,493.273542600897,42.6865940702516,14.5635911141601,17,"R",0.467576791808874,0.454564846416382,0.0614334470989761,0.112414675767918,63761,0.108296943231441,918,1850,392,85
"16",25025000802,1.95253829978973,6.4583959146891,5.40702913787924,15.4701111444878,52,162,302,3.00390507659958,1048.36287173325,119.655827272843,26.0752612670792,56,"I",0.359349350843158,0.535442471272944,0.048052529473213,0.162363826294583,60772,0.181379821958457,1746,2100,812,84
"17",25025000803,0.491803278688525,0.491803278688525,0.655737704918033,2.29508196721311,10,5,32,0,8.19672131147541,22.5408760747052,137.882149531193,9,"I",0.285714285714286,0.53691045796309,0.0695488721804511,0.120642515379357,54821,0.0058252427184466,13,1950,58,112
"18",25025010103,0.27196083763938,0.81588251291814,0.27196083763938,1.3598041881969,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",25025010104,0.403469840629413,4.23643332660884,3.63122856566472,5.85031268912649,19,58,222,2.01734920314706,353.036110550736,40.4778400304394,50.5149431051519,36,"I",0.196243005595524,0.641087130295763,0.0353717026378897,0.0863309352517986,58750,0.245339747444378,258,2497.5,1373,192
